"Row","Description","Part","References","Value","Footprint","Quantity Per PCB","Status","Datasheet","LCSC Part Number","WE"
"1","","orange-pi-zero","A1","orange-pi-zero","Orange_Pi_Zero_LTS","1"," ","~","-",""
"2","Buzzer, polarized","Buzzer","BZ1","Buzzer","MagneticBuzzer_CUI_CST-931RP-A","1"," ","https://datasheet.lcsc.com/lcsc/1810191428_INGHAi-GMD9505RB-3V2700_C252935.pdf","C252935",""
"3","Unpolarized capacitor","C","C2,C9,C10,C11,C12,C13,C14,C19,C20,C21,C38,C39,C40","100n","C_0805_2012Metric","13"," ","~","C161260",""
"4","Unpolarized capacitor","C","C4,C5,C6,C7,C35,C36,C37,C41,C42,C43,C44,C45,C46","100u/10v","C_1206_3216Metric","13"," ","https://datasheet.lcsc.com/lcsc/1811061115_Murata-Electronics-GRM31CR61A107ME05L_C312983.pdf","C312983","885012108012"
"5","Unpolarized capacitor","C","C1,C3","10u/16v","C_0805_2012Metric","2"," ","~","C77075",""
"6","Unpolarized capacitor","C","C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C29,C30,C31,C32,C33,C34","10u/35v","C_1206_3216Metric","16"," ","~","C92797","885012108022"
"7","Polarized capacitor","C_Polarized","C28","220u/35v","CP_Elec_10x10","1"," ","~","C249503","875075661007"
"8","75V 0.15A Fast Switching Diode, SOD-123","1N4148W","D16,D17,D18","1N4148WL","D_SOD-123","3"," ","https://www.vishay.com/docs/85748/1n4148w.pdf","C2908120",""
"9","Zener diode","D_Zener","D7,D8,D9,D10,D24","3V3","D_SOD-123","5"," ","https://datasheet.lcsc.com/lcsc/1806121224_ST-Semtech-MM1Z5226B_C118713.pdf","C118713",""
"10","Light emitting diode, small symbol, filled shape","LED_Small_Filled","D6,D23","BLUE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2"," ","~","C965817",""
"11","Light emitting diode, small symbol, filled shape","LED_Small_Filled","D2,D3,D13,D14,D15","GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","5"," ","~","C965815",""
"12","Light emitting diode, small symbol, filled shape","LED_Small_Filled","D1,D5","ORANGE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2"," ","~","C965813",""
"13","Light emitting diode, small symbol, filled shape","LED_Small_Filled","D4,D11,D12,D34,D35,D36","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","6"," ","~","C965812",""
"14","40V 3A Schottky Barrier Rectifier Diode, SMA(DO-214AC)","CDBA340-HF","D19,D20,D21,D22,D28,D29,D30,D31,D32,D33","SS34A","D_SMA","10"," ","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-SS34A_C2886580.pdf","C2886580",""
"15","Light emitting diode, small symbol, filled shape","LED_Small_Filled","D25,D26,D27","YELLOW","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","3"," ","~","C965814",""
"16","Fuse","Fuse","F6,F7,F8","1A","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","3"," ","https://datasheet.lcsc.com/lcsc/1912111437_Littelfuse-0466001-NRHF_C151135.pdf","C151135",""
"17","Fuse","Fuse","F3,F4","2A","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","2"," ","https://datasheet.lcsc.com/lcsc/1810111821_Littelfuse-0466002-NR_C187595.pdf","C187595",""
"18","Fuse","Fuse","F5","7A","L_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1"," ","https://datasheet.lcsc.com/lcsc/1809211128_Shenzhen-JDT-Fuse-JFC1206-1700FS_C136352.pdf","C136352",""
"19","Fuse","Fuse","F1,F2","PTC 300mA","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","2"," ","~","C2830239",""
"20","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x03_Male","J11,J12,J13,J14,J15,XJ7,XJ8,XJ9","12V_1","PinHeader_1x03_P2.54mm_Vertical","8"," ","~","~ C400542",""
"21","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x03_Female","J7,J8,J9","3pin","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal","3"," ","https://datasheet.lcsc.com/lcsc/1912111437_JILN-JL15EDGRC-35003G01_C409116.pdf","C409116",""
"22","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x04_Female","J2","I2C0_128x32","oled_i2c_128x32_ssd1306","1"," ","~","~",""
"23","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x04_Female","J5","I2C0_128x64","oled_i2c_128x64_ssd1306","1"," ","~","~",""
"24","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x04_Female","J3","I2C1","PinSocket_1x04_P2.54mm_Vertical","1"," ","~","~",""
"25","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x04_Female","J10","Power IN","TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal","1"," ","https://datasheet.lcsc.com/lcsc/1912111437_JILN-JL15EDGRC-35004G01_C409117.pdf","C409117",""
"26","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x06_Female","J4","SPI1","PinSocket_1x06_P2.54mm_Vertical","1"," ","~","~",""
"27","USB Type A connector, stacked","USB_A_Stacked","J6","USB","USB_A_Wuerth_61400826021_Horizontal_Stacked","1"," ","https://datasheet.lcsc.com/lcsc/2008122034_XUNPU-USB-269-BRW_C720548.pdf","C720548",""
"28","USB 2.0-only Type-C Receptacle connector","USB_C_Receptacle_USB2.0","J1","USB_UART","USB_C_Receptacle_HRO_TYPE-C-31-M-12","1"," ","https://datasheet.lcsc.com/lcsc/2205251630_Korean-Hroparts-Elec-TYPE-C-31-M-12_C165948.pdf","C165948",""
"29","FINDER 36.11, SPDT relay, 10A","FINDER-36.11","K1,K2,K3","5V Relay","Relay_SPDT_Finder_36.11","3"," ","https://datasheet.lcsc.com/lcsc/1912111437_WRG-Wangrong-RD-105D_C224434.pdf","C224434",""
"30","Inductor","L","L1,L2,L3,L4,L5","47u/2.5A","L_12x12mm_H8mm__D11.0_P5.0_universal","5"," ","https://datasheet.lcsc.com/lcsc/2201121400_SHOU-HAN-CYH127-47UH_C2929503.pdf","C2929503","744770147"
"31","30V Vds, 5.7A Id, N-Channel MOSFET, SOT-23","AO3400A","Q1,Q2,Q3,Q4","AO3400A","SOT-23","4"," ","https://datasheet.lcsc.com/lcsc/2204291600_UMW-Youtai-Semiconductor-Co---Ltd--AO3400A_C347475.pdf","C347475",""
"32","P-MOSFET transistor, gate/source/drain","Q_PMOS_GSD","Q5","HYG210P06LQ1D","TO-252-2","1"," ","https://datasheet.lcsc.com/lcsc/2105241400_HUAYI-HYG210P06LQ1D_C2834760.pdf","C2834760",""
"33","Resistor","R","R11,R15,R17,R19,R21","0","R_0805_2012Metric","5"," ","~","~",""
"34","Resistor","R","R4,R5,R12,R13,R33,R34,R35","330","R_0805_2012Metric","7"," ","~","~",""
"35","Resistor","R","R3,R10,R39,R40,R41,R47,R48,R49,R50","1k","R_0805_2012Metric","9"," ","~","~",""
"36","Resistor","R","R56,R57,R58","1k5","R_0805_2012Metric","3"," ","~","~",""
"37","Resistor","R","R1,R2,R7,R14,R31,R32,R53,R54,R55,R59,R60,R61","4k7","R_0805_2012Metric","12"," ","~","~",""
"38","Resistor","R","R6,R8,R16,R18,R20,R22,R36,R37,R38,R42,R43,R44,R45,R46,R51,R52","10k","R_0805_2012Metric","16"," ","~","~",""
"39","Resistor","R","R23,R24,R25,R26,R27,R28,R29,R30","100k","R_0805_2012Metric","8"," ","~","~",""
"40","Trim-potentiometer","R_Potentiometer_Trim","RV1,RV2","10k","Potentiometer_Bourns_3296W_Vertical","2"," ","https://datasheet.lcsc.com/lcsc/1811071811_BOCHEN-Chengdu-Guosheng-Tech-3296W-1-103_C118954.pdf","C118954",""
"41","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x02_Female","SW1,SW2,SW3,SW4","2pin","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","4"," ","https://datasheet.lcsc.com/lcsc/1912111437_JILN-JL15EDGRC-35002G01_C409115.pdf","C409115",""
"42","1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223","AMS1117-3.3","U2","3V3 LDO","SOT-23","1"," ","https://datasheet.lcsc.com/lcsc/1809201825_Shanghai-Siproin-Microelectronics-SSP6206-33NR_C277882.pdf","C277882",""
"43","USB serial converter, UART, SOIC-16","CH340G","U3","CH340C","SOIC-16_3.9x9.9mm_P1.27mm","1"," ","http://www.datasheet5.com/pdf-local-2195953","C84681",""
"44","Programmable Resolution 1-Wire Digital Thermometer SOIC-8","DS18B20Z","U4","DS18B20Z","SOIC-8_3.9x4.9mm_P1.27mm","1"," ","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","C695837",""
"45","Very low capacitance ESD protection diode, 2 data-line, SOT-23-6","USBLC6-2SC6","U1,U5,U6","USBLC6-2SC6","SOT-23-6","3"," ","https://datasheet.lcsc.com/lcsc/1811141711_STMicroelectronics-USBLC6-2SC6_C7519.pdf","C7519",""
"46","","XL4001","U7,U8,U9,U10,U11","XL4001","Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.8x4.1mm_Mask2.8x4.1mm_ThermalVias","5"," ","https://datasheet.lcsc.com/szlcsc/XL4001E1_C73347.pdf","C2988027",""
"47","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x04_Male","XJ10","4pin","","1"," ","~","C393014",""
"48","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x01_Female","XJaA1,XJbA1,XJcA1","Conn_02x13_Female_2.54","","3"," ","~","C350298 C52709 C2935974",""
"49","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x02_Male","XSW1,XSW2,XSW3,XSW4","2pin","","4"," ","https://datasheet.lcsc.com/lcsc/1912111437_JILN-JL15EDGK-35002G01_C393013.pdf","C393013",""
