"Quantity","LCSC Part Number","Value","Footprint"
"1","C252935","Buzzer","MagneticBuzzer_CUI_CST-931RP-A"
"13","C161260","100n","C_0805_2012Metric"
"13","C312983","100u/10v","C_1206_3216Metric"
"2","C77075","10u/16v","C_0805_2012Metric"
"16","C92797","10u/35v","C_1206_3216Metric"
"1","C249503","220u/35v","CP_Elec_10x10"
"3","C2908120","1N4148WL","D_SOD-123"
"5","C118713","3V3","D_SOD-123"
"2","C965817","BLUE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"5","C965815","GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"2","C965813","ORANGE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"6","C965812","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"10","C2886580","SS34A","D_SMA"
"3","C965814","YELLOW","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"3","C151135","1A","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder"
"2","C187595","2A","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder"
"1","C136352","7A","L_1206_3216Metric_Pad1.42x1.75mm_HandSolder"
"2","C2830239","PTC 300mA","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder"
"3","C409116","3pin","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal"
"1","C409117","Power IN","TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal"
"1","C720548","USB","USB_A_Wuerth_61400826021_Horizontal_Stacked"
"1","C165948","USB_UART","USB_C_Receptacle_HRO_TYPE-C-31-M-12"
"3","C224434","5V Relay","Relay_SPDT_Finder_36.11"
"5","C2929503","47u/2.5A","L_12x12mm_H8mm__D11.0_P5.0_universal"
"4","C347475","AO3400A","SOT-23"
"1","C2834760","HYG210P06LQ1D","TO-252-2"
"2","C118954","10k","Potentiometer_Bourns_3296W_Vertical"
"4","C409115","2pin","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal"
"1","C277882","3V3 LDO","SOT-23"
"1","C84681","CH340C","SOIC-16_3.9x9.9mm_P1.27mm"
"1","C695837","DS18B20Z","SOIC-8_3.9x4.9mm_P1.27mm"
"3","C7519","USBLC6-2SC6","SOT-23-6"
"5","C2988027","XL4001","Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias"
"3","C400542","3pin",""
"1","C393014","4pin",""
"4","C393013","2pin",""
